SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
539207,MANPASAND   ,B ,Q,360.00,375.00,355.00,368.10,369.00,367.50,474,11535,4201370.00,
539216,JUNCTION    ,M ,Q,28.15,28.15,28.15,28.15,28.15,26.85,1,4000,112600.00,
539217,SRESTHA     ,X ,Q,12.95,13.61,12.40,13.08,13.08,12.98,154,462979,5944963.00,
539219,MUL         ,X ,Q,168.80,175.50,164.00,170.90,175.50,170.00,50,1391,232609.00,
539223,AMBITION    ,M ,Q,38.10,38.10,36.50,36.50,36.50,36.80,2,6000,223800.00,
539224,HCKKVENTURE ,X ,Q,44.75,44.95,44.75,44.95,44.95,44.85,14,4052,181707.00,
539225,JIYAECO     ,B ,Q,111.65,113.60,103.05,112.00,111.80,111.65,148,25977,2876189.00,
539226,RUDRA       ,B ,Q,192.50,195.00,190.00,190.00,190.00,190.00,27,2839,546350.00,
539227,LOYAL       ,M ,Q,53.50,53.50,53.50,53.50,53.50,52.40,1,21000,1123500.00,
539228,GGPL        ,B ,Q,287.25,287.25,287.25,287.25,287.25,319.15,35,2192,629652.00,
539229,MRSS        ,M ,Q,215.35,224.10,215.35,220.00,220.00,215.25,14,18000,3922680.00,
539251,BALKRISHNA  ,B ,Q,71.00,71.00,68.75,69.95,69.85,71.00,15,11940,844977.00,
539252,SCFL        ,B ,Q,9.50,9.75,9.30,9.50,9.50,9.65,35,20425,194424.00,
539254,ADANITRANS  ,A ,Q,193.00,196.45,186.70,191.00,190.55,200.25,1277,73891,14065993.00,
539265,AMRAFIN     ,M ,Q,31.15,31.15,31.15,31.15,31.15,31.00,1,66000,2055900.00,
539268,SYNGENE     ,A ,Q,549.55,563.80,545.10,560.40,560.15,558.45,783,58158,32115143.00,
539274,BLFL        ,X ,Q,11.25,11.29,10.34,10.42,10.42,10.88,91,124680,1306974.00,
